observation_id,action_id,action_timestamp,action_type,candidate_evidence_timestamp,candidate_evidence_type,classification,reason,source_reference,review_method
obs-eb249cdef340d691,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000903; requested volume=0.000000903; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[1],automated_exact_decimal_comparison
obs-7212b45023795a44,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000175; requested volume=0.000000175; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[2],automated_exact_decimal_comparison
obs-6d51f4dbabb5e693,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000218; requested volume=0.000000218; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[3],automated_exact_decimal_comparison
obs-7910c19161b1fa70,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000801; requested volume=0.000000801; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[4],automated_exact_decimal_comparison
obs-a28886a0dd6cfd77,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000903; requested volume=0.000000903; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[5],automated_exact_decimal_comparison
obs-bb1e7f0060124300,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000907; requested volume=0.000000907; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[6],automated_exact_decimal_comparison
obs-845f84eea7bbe3ce,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000795; requested volume=0.000000795; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[7],automated_exact_decimal_comparison
obs-2345c36c96c9d884,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000215; requested volume=0.000000215; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[8],automated_exact_decimal_comparison
obs-e7ba661529dcc5fc,{50F70B91-6C60-47D2-BCE7-B66CA3F61C97},2025-07-05 13:36:28.086,liquid_transfer,2025-07-05 13:38:25.944,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000912; requested volume=0.000000912; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={50F70B91-6C60-47D2-BCE7-B66CA3F61C97};src[9],automated_exact_decimal_comparison
obs-2bebac66b5c6b08c,{01863BA0-E21A-411F-A481-311DB488014A},2025-07-05 13:38:26.937,liquid_transfer,2025-07-05 13:38:48.356,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000056; requested volume=0.000000056; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={01863BA0-E21A-411F-A481-311DB488014A};dest[0],automated_exact_decimal_comparison
obs-7551169e1360cb92,{01863BA0-E21A-411F-A481-311DB488014A},2025-07-05 13:38:26.937,liquid_transfer,2025-07-05 13:38:48.356,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000056; requested volume=0.000000056; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={01863BA0-E21A-411F-A481-311DB488014A};src[0],automated_exact_decimal_comparison
obs-dd5144b6996bdf7a,{5EF575F5-068E-49C0-BA41-C4BC6BFFD4E1},2025-07-05 13:40:10.058,liquid_transfer,2025-07-05 13:40:33.807,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000055; requested volume=0.000000055; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={5EF575F5-068E-49C0-BA41-C4BC6BFFD4E1};dest[0],automated_exact_decimal_comparison
obs-c9b060b5c9b44d57,{5EF575F5-068E-49C0-BA41-C4BC6BFFD4E1},2025-07-05 13:40:10.058,liquid_transfer,2025-07-05 13:40:33.807,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000055; requested volume=0.000000055; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={5EF575F5-068E-49C0-BA41-C4BC6BFFD4E1};src[0],automated_exact_decimal_comparison
obs-112f9fcf15ead266,{B1680577-FBD5-4E86-BB94-1F8E2C46D514},2025-07-05 13:41:53.369,liquid_transfer,2025-07-05 13:42:59.877,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000774; requested volume=0.000000774; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={B1680577-FBD5-4E86-BB94-1F8E2C46D514};dest[0],automated_exact_decimal_comparison
obs-45b289d1b57a9c72,{B1680577-FBD5-4E86-BB94-1F8E2C46D514},2025-07-05 13:41:53.369,liquid_transfer,2025-07-05 13:42:59.877,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000774; requested volume=0.000000774; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={B1680577-FBD5-4E86-BB94-1F8E2C46D514};src[0],automated_exact_decimal_comparison
obs-520a68b9dade508d,{1355B14F-C0B6-4ED6-A0E7-82A375377176},2025-07-05 13:43:10.141,liquid_transfer,2025-07-05 13:44:15.622,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.00000074; requested volume=0.00000074; exact decimal delta=0.00000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={1355B14F-C0B6-4ED6-A0E7-82A375377176};dest[0],automated_exact_decimal_comparison
obs-991b264c00479a99,{1355B14F-C0B6-4ED6-A0E7-82A375377176},2025-07-05 13:43:10.141,liquid_transfer,2025-07-05 13:44:15.622,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.00000074; requested volume=0.00000074; exact decimal delta=0.00000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={1355B14F-C0B6-4ED6-A0E7-82A375377176};src[0],automated_exact_decimal_comparison
obs-ab2d08440cac5a67,{8E46B650-7A5F-4BAC-8DA2-BD1103810317},2025-07-05 13:45:34.753,liquid_transfer,2025-07-05 13:46:08.202,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000188; requested volume=0.000000188; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={8E46B650-7A5F-4BAC-8DA2-BD1103810317};dest[0],automated_exact_decimal_comparison
obs-1af290873653e00b,{8E46B650-7A5F-4BAC-8DA2-BD1103810317},2025-07-05 13:45:34.753,liquid_transfer,2025-07-05 13:46:08.202,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000188; requested volume=0.000000188; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={8E46B650-7A5F-4BAC-8DA2-BD1103810317};src[0],automated_exact_decimal_comparison
obs-a0b0f2cdde7a091c,{1AA4DABD-545C-4413-9DFC-D7EE7266AFB1},2025-07-05 13:47:28.951,liquid_transfer,2025-07-05 13:47:53.838,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000051; requested volume=0.000000051; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={1AA4DABD-545C-4413-9DFC-D7EE7266AFB1};dest[0],automated_exact_decimal_comparison
obs-7cb26681179de7b1,{1AA4DABD-545C-4413-9DFC-D7EE7266AFB1},2025-07-05 13:47:28.951,liquid_transfer,2025-07-05 13:47:53.838,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000051; requested volume=0.000000051; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={1AA4DABD-545C-4413-9DFC-D7EE7266AFB1};src[0],automated_exact_decimal_comparison
obs-6dc71b761a95fb1d,{EFC20152-CEF7-496C-A681-5D4DF6A3E6B2},2025-07-05 13:49:15.233,liquid_transfer,2025-07-05 13:49:40.163,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000046; requested volume=0.000000046; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={EFC20152-CEF7-496C-A681-5D4DF6A3E6B2};dest[0],automated_exact_decimal_comparison
obs-085b4117adcdd723,{EFC20152-CEF7-496C-A681-5D4DF6A3E6B2},2025-07-05 13:49:15.233,liquid_transfer,2025-07-05 13:49:40.163,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000046; requested volume=0.000000046; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={EFC20152-CEF7-496C-A681-5D4DF6A3E6B2};src[0],automated_exact_decimal_comparison
obs-101b364856877a08,{F7D7A4B2-7A3E-4C83-A97E-0D20460F7729},2025-07-05 13:51:00.844,liquid_transfer,2025-07-05 13:51:33.659,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000164; requested volume=0.000000164; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={F7D7A4B2-7A3E-4C83-A97E-0D20460F7729};dest[0],automated_exact_decimal_comparison
obs-5ee099a167144430,{F7D7A4B2-7A3E-4C83-A97E-0D20460F7729},2025-07-05 13:51:00.844,liquid_transfer,2025-07-05 13:51:33.659,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000164; requested volume=0.000000164; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={F7D7A4B2-7A3E-4C83-A97E-0D20460F7729};src[0],automated_exact_decimal_comparison
obs-8beb361a191b95b1,{B218C9E3-3B12-43C1-B306-1F56E357EDB3},2025-07-05 13:52:54.374,liquid_transfer,2025-07-05 13:54:12.503,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000743; requested volume=0.000000743; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={B218C9E3-3B12-43C1-B306-1F56E357EDB3};dest[0],automated_exact_decimal_comparison
obs-654250d5ea4d7c5c,{B218C9E3-3B12-43C1-B306-1F56E357EDB3},2025-07-05 13:52:54.374,liquid_transfer,2025-07-05 13:54:12.503,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000046; requested volume=0.000000046; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={B218C9E3-3B12-43C1-B306-1F56E357EDB3};dest[1],automated_exact_decimal_comparison
obs-6ead3c8f8c7510c1,{B218C9E3-3B12-43C1-B306-1F56E357EDB3},2025-07-05 13:52:54.374,liquid_transfer,2025-07-05 13:54:12.503,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000743; requested volume=0.000000743; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={B218C9E3-3B12-43C1-B306-1F56E357EDB3};src[0],automated_exact_decimal_comparison
obs-96263456afa7a623,{B218C9E3-3B12-43C1-B306-1F56E357EDB3},2025-07-05 13:52:54.374,liquid_transfer,2025-07-05 13:54:12.503,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000046; requested volume=0.000000046; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={B218C9E3-3B12-43C1-B306-1F56E357EDB3};src[1],automated_exact_decimal_comparison
obs-7777551833a22f7a,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[0],automated_exact_decimal_comparison
obs-f2fb9ddc0b6540f3,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[1],automated_exact_decimal_comparison
obs-0f63fe603a0a647a,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000051; requested volume=0.000000051; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[2],automated_exact_decimal_comparison
obs-c17809fbbd1a0cb8,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[3],automated_exact_decimal_comparison
obs-0bffdb2b5579298c,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.00000001; requested volume=0.00000001; exact decimal delta=0.00000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[4],automated_exact_decimal_comparison
obs-ffbf64f46c3212a0,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000046; requested volume=0.000000046; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[5],automated_exact_decimal_comparison
obs-1d0fadab570db654,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000046; requested volume=0.000000046; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[6],automated_exact_decimal_comparison
obs-0e3e6f8e84fa82a7,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[7],automated_exact_decimal_comparison
obs-8a7d36387ee866c3,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[8],automated_exact_decimal_comparison
obs-f6379b00e9f9b835,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};dest[9],automated_exact_decimal_comparison
obs-8096cfe8e9185732,{E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F},2025-07-05 13:55:33.886,liquid_transfer,2025-07-05 13:57:32.368,reported_actualVolume_semantics_unverified,reported_equals_requested,reported actualVolume=0.000000041; requested volume=0.000000041; exact decimal delta=0.000000000,Flex_cat_data/Chemspeed/JAB_Oct_11_2024_VIP2 2025-05-26 14.23.22 2025-07-05 13.30.20/Eventlog.txt#transfer={E0FDFBDC-7089-4B6B-9FC5-80A9A0726E3F};src[0],automated_exact_decimal_comparison
