observation_id,action_id,action_timestamp,action_type,candidate_evidence_timestamp,candidate_evidence_type,classification,reason,source_reference,anchor_source,recovery_action,pre_window_seconds,post_window_seconds,matched_event_count,matched_event_rows,review_method
obs-1a3de74ba27b38d5,OP003TA004A001,12:56:00,labelled_recovery,12:56:08,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_004,perturbation_end,Restore normal state,60,120,1,31,automated_temporal_match
obs-8940e43cd0d93581,OP003TA004A002,13:30:00,labelled_recovery,13:30:47,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_004,perturbation_end,Restore normal state,60,120,1,39,automated_temporal_match
obs-d3164787a0b1b8f1,OP003TA005A001,13:02:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_005,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-66a47663736f5c69,OP003TA005A002,13:20:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_005,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-0837d96410138687,OP003TA006A002,12:35:05,labelled_recovery,12:35:05,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_006,perturbation_end,Restore normal state,60,120,1,25,automated_temporal_match
obs-1829560eed358393,OP003TA006A004,13:05:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_006,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-f5db9fb8229fc4c0,OP003TA007A001,12:36:02,labelled_recovery,12:36:02,operation_log_event,matched,1 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_007,perturbation_end,Restore normal state,60,120,1,24,automated_temporal_match
obs-e56866e349ec5400,OP003TA007A003,12:55:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_007,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-f9fb762cc2745ff9,OP003TA009A001,11:16:15,labelled_recovery,11:16:12;11:16:15;11:16:15;11:16:16;11:16:16;11:16:16;11:16:17;11:16:17;11:16:18;11:16:18;11:16:18;11:17:00;11:17:06;11:17:10,operation_log_event,matched,14 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_003/test_anormal_experiment_009,perturbation_end,Restore normal state,60,120,14,46;47;48;49;50;51;52;53;54;55;56;57;58;59,automated_temporal_match
obs-1e0a4836e236955f,OP007TA001A001,16:43:17,labelled_recovery,16:43:09;16:43:13,operation_log_event,matched,2 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_007/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,2,45;46,automated_temporal_match
obs-ccf5ac96e4bddbe6,OP008TA002A001,09:20:43,labelled_recovery,09:20:05;09:20:08;09:20:37;09:20:39,operation_log_event,matched,4 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_008/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,4,26;27;28;29,automated_temporal_match
obs-fd8ce6afebf67b0c,OP008TA002A002,09:35:05,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_008/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-679147bf061d5c75,OP008TA002A003,10:15:35,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_008/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-252ad14a1c9c6b23,OP009TA002A001,11:55:44,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_009/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-9fc521358b084107,OP009TA002A002,11:55:44,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_009/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-0eb9ad12ed8da780,OP009TA002A003,11:55:44,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_009/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-3327711dede238a9,OP009TA002A004,11:55:44,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_009/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-0d36bc72c43567d2,OP010TA001A001,16:37:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_010/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-8de2dbbf18491409,OP011TA002A001,15:57:53,labelled_recovery,15:57:02;15:57:08;15:57:15;15:57:22;15:57:37;15:57:42;15:57:43;15:58:42,operation_log_event,matched,8 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_011/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,8,24;25;26;27;28;29;30;31,automated_temporal_match
obs-ee43ca25b6cfc7b4,OP011TA002A002,17:00:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_011/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-7408abc71da1ae5f,OP012TA002A001,16:56:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_012/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-1b40754d66065318,OP012TA002A002,16:16:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_012/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-95cf788290b0d36a,OP012TA002A003,15:54:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_012/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-7c488c1bd837bc0d,OP014TA001A001,11:35:12,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_014/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-154b4769390c285b,OP015TA001A001,15:59:47,labelled_recovery,15:59:41;15:59:46,operation_log_event,matched,2 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_015/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,2,58;59,automated_temporal_match
obs-69c60efdceed22ca,OP015TA001A002,16:20:47,labelled_recovery,16:20:42;16:20:46,operation_log_event,matched,2 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_015/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,2,62;63,automated_temporal_match
obs-fde0ade5e2a8249e,OP015TA001A003,16:49:45,labelled_recovery,16:49:40;16:49:42,operation_log_event,matched,2 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_015/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,2,66;67,automated_temporal_match
obs-3a716d81cf24e8d0,OP016TA001A001,11:04:25,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_016/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-3ba39005d340c719,OP016TA001A002,11:21:30,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_016/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-ae9dc2e851bb6cd8,OP016TA001A003,11:46:00,labelled_recovery,11:47:08;11:47:40,operation_log_event,matched,2 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_016/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,2,28;29,automated_temporal_match
obs-9f6c6d4bf91be509,OP017TA001A001,10:40:35,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_017/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-c39dbc0d49869f90,OP017TA001A002,11:02:06,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_017/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-a55163b38d4c14e5,OP017TA001A003,11:50:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_017/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-64c5ba5e63685239,OP017TA001A004,12:34:30,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_017/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-287f16bf3735ae56,OP018TA001A001,11:33:30,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_018/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-633365493f5c1481,OP018TA001A002,12:09:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_018/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-60a8df4c9d58e7a6,OP018TA001A003,12:27:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_018/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-29a872d4a1873e73,OP021TA001A001,11:00:32,labelled_recovery,11:00:03;11:00:05;11:00:06;11:00:06;11:00:06;11:00:12;11:00:14;11:00:15,operation_log_event,matched,8 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_021/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,8,70;71;72;73;74;75;76;77,automated_temporal_match
obs-d73aa580adc5e961,OP021TA001A002,12:03:51,labelled_recovery,12:03:37;12:03:39;12:03:40;12:03:40;12:03:41;12:03:45;12:03:47;12:03:48,operation_log_event,matched,8 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_021/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,8,83;84;85;86;87;88;89;90,automated_temporal_match
obs-e31bc0e5d3bbc577,OP022TA001A001,11:29:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_022/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-8b51ca25273237b2,OP022TA001A002,12:20:15,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_022/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-268726c7ece1fc47,OP022TA001A003,12:41:45,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_022/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-3f810e7659f2f22a,OP023TA002A001,11:34:38,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_023/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-92f3fa8465076797,OP026TA001A001,11:17:20,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_026/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-5eb8fb5eca0561b7,OP026TA002A001,10:54:00,labelled_recovery,10:53:48;10:53:59;10:54:00;10:54:00;10:54:00;10:54:01;10:54:01;10:54:02;10:54:02;10:54:03;10:54:03;10:54:20;10:54:21;10:54:21,operation_log_event,matched,14 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_026/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,14,40;41;42;43;44;45;46;47;48;49;50;51;52;53,automated_temporal_match
obs-3e7d4c2247b19234,OP026TA002A002,11:46:00,labelled_recovery,11:46:06;11:46:10;11:46:10;11:46:11;11:46:11;11:46:15;11:46:16;11:46:16,operation_log_event,matched,8 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_026/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,8,66;67;68;69;70;71;72;73,automated_temporal_match
obs-05a9a50a5ddd68c6,OP027TA001A001,11:23:15,labelled_recovery,11:22:22;11:22:24;11:22:25;11:22:25;11:22:26;11:22:26;11:22:27;11:22:27;11:22:28;11:22:28;11:22:29;11:22:45;11:22:47;11:22:50;11:22:52;11:22:54;11:22:59;11:23:00;11:23:01;11:23:02;11:23:11;11:23:13;11:23:15,operation_log_event,matched,23 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_027/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,23,65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,automated_temporal_match
obs-cf205845d43830a0,OP028TA001A001,12:05:30,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_028/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-113cbb2d4daed76f,OP028TA001A002,15:49:30,labelled_recovery,15:49:15;15:49:30;15:49:30;15:49:31;15:49:31;15:49:31;15:49:32;15:49:32;15:49:33;15:49:33;15:49:34,operation_log_event,matched,11 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_028/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,11,45;46;47;48;49;50;51;52;53;54;55,automated_temporal_match
obs-1cab8b379ccbde92,OP028TA002A001,13:31:07,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_028/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-c418f37159a788ee,OP028TA002A002,14:06:48,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_028/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-400bdfd42d8a5137,OP029TA001A001,14:17:16,labelled_recovery,14:17:10;14:17:13;14:17:14;14:17:14;14:17:15;14:17:15;14:17:16;14:17:16;14:17:17;14:17:17;14:17:17;14:17:40;14:17:43;14:17:45,operation_log_event,matched,14 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_029/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,14,51;52;53;54;55;56;57;58;59;60;61;62;63;64,automated_temporal_match
obs-f1b68d51536d6037,OP030TA002A001,10:39:40,labelled_recovery,10:39:23;10:39:29;10:39:30;10:39:31;10:39:31;10:39:31;10:39:32;10:39:32;10:39:33;10:39:33;10:39:34,operation_log_event,matched,11 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_030/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,11,121;122;123;124;125;126;127;128;129;130;131,automated_temporal_match
obs-6ed8855415628ffe,OP030TA002A002,11:24:30,labelled_recovery,11:24:28;11:24:29;11:24:29;11:24:30,operation_log_event,matched,4 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_030/test_anormal_experiment_002,perturbation_end,Restore normal state,60,120,4,136;137;138;139,automated_temporal_match
obs-1fd06387394fcf36,OP031TA001A001,10:29:45,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_031/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
obs-67f7337a90c62257,OP031TA001A002,11:22:00,labelled_recovery,,operation_log_event,no_logged_event_in_window,0 event(s) in inclusive temporal window,batch_dist_ternary_butan-1-ol+propan-2-ol+water/operating_point_031/test_anormal_experiment_001,perturbation_end,Restore normal state,60,120,0,,automated_temporal_match
